value_ozone,value_co,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),season,AQI
0.020366848,0.493043478,0.1975,0.0,655.0,11.05,56.825,70.5,47.125,4.425,106.025,63.35,1,19.0
0.02630163,0.380289855,0.185,0.0075,610.25,10.9,57.075,68.5,46.675,4.325,104.325,64.1,1,24.0
0.027584022,0.454599407,0.1475,0.005,507.75,10.25,54.55,70.5,45.2,3.65,87.625,62.95,1,26.0
0.028125683,0.525806452,0.19,0.0,645.0,11.1,56.5,71.25,47.2,3.9,93.8,62.875,1,26.0
0.026419178,0.620467836,0.1925,0.0025,648.25,12.125,57.35,76.0,49.6,3.55,85.425,63.575,1,24.0
0.029869565,0.568115942,0.19,0.0,639.75,12.975,57.9,79.25,51.4,3.725,89.525,64.325,1,28.0
0.035543478,0.414492754,0.14,0.005,493.75,13.625,58.475,81.75,52.825,3.675,88.725,64.825,1,33.0
0.034117166,0.424057971,0.1725,0.005,576.75,13.35,59.75,76.5,52.225,3.7,88.55,65.7,1,32.0
0.027876374,0.615249267,0.1825,0.0,608.75,13.325,58.975,78.75,52.225,3.475,84.0,65.9,1,26.0
0.029590164,0.475,0.155,0.0,522.0,13.1,58.65,77.75,51.725,3.95,94.125,66.075,1,27.0
0.030320652,0.524637681,0.195,0.0,632.0,12.25,59.75,70.25,49.875,3.8,90.625,65.725,1,28.0
0.03705163,0.737971014,0.2425,0.0,690.0,9.225,70.625,36.5,42.1,3.55,85.125,66.6,1,34.0
0.034024793,0.779941003,0.2525,0.0025,668.25,11.05,70.65,44.0,46.65,3.625,86.95,68.25,1,32.0
0.035072423,0.479351032,0.22,0.0,672.25,13.8,64.5,67.25,52.975,4.025,96.2,68.6,1,32.0
0.034945504,0.409883721,0.0975,0.0,356.75,14.325,59.975,81.0,54.15,3.4,81.75,67.375,1,32.0
0.036043836,0.539358601,0.1725,0.0,565.5,14.475,61.175,78.75,54.475,3.65,88.375,67.325,1,33.0
0.045386921,0.49505814,0.105,0.0,375.25,15.2,61.0,83.25,55.8,3.775,91.725,67.45,1,42.0
0.027852055,0.368421053,0.175,0.0,614.25,10.85,58.075,66.0,46.7,4.45,106.5,66.8,1,26.0
0.028978202,0.474418605,0.2175,0.0,689.75,11.425,59.775,65.5,48.025,3.8,91.05,65.6,1,27.0
0.033310056,0.534626866,0.2125,0.0,684.25,12.65,60.825,70.0,50.7,3.9,93.35,66.55,1,31.0
0.034803279,0.485174419,0.195,0.0075,635.0,14.25,61.6,76.5,54.025,4.125,98.95,67.45,1,32.0
0.041144414,0.363372093,0.165,0.0,549.75,14.425,61.3,78.25,54.3,4.15,99.425,68.375,1,38.0
0.04519346,0.324127907,0.155,0.0025,516.25,13.975,61.175,75.75,53.5,3.65,87.2,68.3,1,42.0
0.040705722,0.327616279,0.17,0.005,569.5,13.9,59.95,78.75,53.3,3.75,89.6,67.95,1,38.0
0.029708333,0.535608309,0.205,0.005,654.25,14.75,62.05,78.0,54.95,3.3,79.9,68.4,1,28.0
0.030667575,0.75497076,0.2175,0.0,663.0,16.325,67.925,72.0,57.75,3.775,90.5,69.975,1,28.0
0.034989101,0.58372093,0.165,0.0,535.0,17.05,64.5,82.5,58.975,4.05,97.475,70.375,1,32.0
0.034948229,0.593604651,0.2,0.0075,594.5,16.275,66.675,73.25,57.625,4.325,103.65,70.8,1,32.0
0.039637681,0.39068323,0.195,0.0,626.0,15.725,64.225,77.25,56.75,4.3,103.4,71.475,2,37.0
0.036428986,0.324534161,0.1525,0.0,513.0,14.775,62.525,76.5,54.95,4.05,97.75,70.75,2,34.0
0.031571429,0.3846875,0.135,0.0,466.75,14.5,61.575,77.75,54.45,3.8,91.15,69.85,2,29.0
0.030473684,0.658934169,0.2175,0.0,674.75,15.65,64.625,75.75,56.55,3.475,82.825,69.9,2,28.0
0.041921739,0.746273292,0.2275,0.0,675.75,17.525,68.675,74.25,59.725,3.525,84.75,71.7,2,39.0
0.039307018,0.687774295,0.2025,0.0,623.75,18.15,67.375,79.75,60.75,3.875,93.35,72.75,2,36.0
0.028832845,0.539308176,0.1275,0.0,443.5,17.675,64.275,86.25,59.975,3.9,93.6,71.525,2,27.0
0.039257971,0.372049689,0.13,0.0,449.5,16.225,63.5,81.25,57.6,4.075,97.95,71.35,2,36.0
0.03924058,0.277950311,0.1325,0.0,449.5,14.7,61.875,78.0,54.875,4.075,97.55,70.65,2,36.0
0.033165217,0.417391304,0.175,0.0,561.25,15.025,63.1,76.5,55.45,4.4,105.75,70.7,2,31.0
0.030884615,0.431746032,0.1525,0.0,507.0,15.05,62.525,78.0,55.5,3.65,87.5,70.325,2,29.0
0.032744186,0.487850467,0.2125,0.0,670.25,15.475,64.225,75.5,56.25,3.9,93.175,71.1,2,30.0
0.03482029,0.451863354,0.2175,0.0,684.25,15.575,64.475,75.5,56.475,3.75,90.1,71.5,2,32.0
